"tick","donation-big group","donation-small","donation-normed-big","donation-normed-small","donation-valued-big","donation-valued-small"
99.0,39.873620990383124,34.341032876529326,57.907522032329155,54.308132068884966,50.0,45.0
100.0,39.85495109995446,34.32164479232159,49.60311444821796,44.029855666380215,50.0,45.0
101.0,39.8442614984127,34.31019247225639,49.336070304609954,44.029855666380215,50.0,45.0
102.0,39.834478624542164,34.2993124628847,49.08727850144652,44.029855666380215,50.0,45.0
103.0,39.82557462963409,34.28897627926151,48.82941969967422,44.029855666380215,50.0,45.0
104.0,39.81752361903175,34.2791573827599,48.142365881914756,41.20781070704384,50.0,45.0
105.0,39.806783806619585,34.2693054557496,47.91895689013124,41.20781070704384,50.0,45.0
106.0,39.85338726473417,34.316178968000514,47.71203362219816,41.20781070704384,50.0,45.0
107.0,40.00622283388482,34.46557285218452,47.71203362219816,41.20781070704384,50.0,45.0
108.0,40.446709950507085,34.89285636125027,47.71203362219816,41.20781070704384,50.0,45.0
109.0,41.66858880855985,36.0726801225025,47.71203362219816,41.20781070704384,50.0,45.0
110.0,44.90511032724845,39.21634172491719,47.71203362219816,41.20781070704384,50.0,45.0
111.0,45.25507887946616,39.39069776491962,47.71203362219816,41.20781070704384,50.0,45.00000000000001
112.0,45.62308449230874,39.690091539456915,47.71203362219816,41.20781070704384,50.0,45.0
113.0,46.0542185597844,40.355139481103336,47.572664683889904,41.20781070704384,50.0,45.0
114.0,46.658750528060665,41.97729583013931,47.11874847946051,41.20781070704384,50.0,45.0
115.0,46.95044282331799,42.084807318033,47.11874847946051,41.20781070704384,50.0,45.0
116.0,47.180817245499405,42.17941015993441,47.11874847946051,41.20781070704384,50.0,45.0
